Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Cases_per1M_population,Deaths_per1M_population,Total_Tests,Tests_per1M_population,Population
Afghanistan,156071,7262,128000.0,20809.0,3894,181,771431.0,19247.0,40080392
Albania,182610,2888,172464.0,7258.0,63546,1005,1289520.0,448738.0,2873656
Algeria,205990,5899,141335.0,58756.0,4589,131,230861.0,5143.0,44892255
Andorra,15425,130,15205.0,90.0,199217,1679,193595.0,2500323.0,77428
Angola,64033,1702,52833.0,9498.0,1872,50,1092363.0,31933.0,34207984
Antigua and Barbuda,4031,99,3541.0,391.0,40718,1000,17674.0,178531.0,98997
Argentina,5283000,115866,5149181.0,17953.0,115496,2533,24896917.0,544293.0,45741769
Armenia,298069,6112,263002.0,28955.0,100342,2058,2018614.0,679544.0,2970540
Aruba,15848,171,15513.0,164.0,147611,1593,177885.0,1656856.0,107363
Australia,163866,1669,130922.0,31275.0,6329,64,42692931.0,1649058.0,25889279
Austria,804825,11279,760336.0,33210.0,88695,1243,95541800.0,10529092.0,9074078
Azerbaijan,520068,6939,486426.0,26703.0,50691,676,5131033.0,500125.0,10259494
Bahamas,22259,642,20261.0,1356.0,55900,1612,155049.0,389383.0,398191
Bahrain,276635,1393,274640.0,602.0,155487,783,6840598.0,3844860.0,1779154
Bangladesh,1568257,27834,1532180.0,8243.0,9399,167,10262107.0,61505.0,166849261
Barbados,16033,143,10429.0,5461.0,55701,497,378335.0,1314398.0,287839
Belarus,590226,4546,562091.0,23589.0,62489,481,9415479.0,996850.0,9445227
Belgium,1333947,25914,1209523.0,98510.0,114442,2223,21405101.0,1836392.0,11656062
Belize,26152,482,22957.0,2713.0,64237,1184,303238.0,744837.0,407120
Benin,24678,161,23971.0,546.0,1968,13,604310.0,48190.0,12540234
Bermuda,5625,98,5400.0,127.0,90762,1581,586598.0,9465075.0,61975
Bhutan,2617,3,2610.0,4.0,3343,4,1192940.0,1523957.0,782791
Bolivia,510470,18903,473195.0,18372.0,42960,1591,2516925.0,211817.0,11882528
Bosnia and Herzegovina,250165,11423,192218.0,46524.0,76881,3511,1291186.0,396810.0,3253915
Botswana,185985,2402,182304.0,1279.0,77043,995,1811943.0,750584.0,2414043
Brazil,21748984,606293,20944087.0,198604.0,101371,2826,63776166.0,297257.0,214549103
Brunei,12595,82,10047.0,2466.0,28432,185,482763.0,1089773.0,442994
Bulgaria,582122,23440,471403.0,87279.0,84617,3407,5378292.0,781788.0,6879479
Burkina Faso,14793,214,14287.0,292.0,683,10,222837.0,10290.0,21655917
Burundi,19945,38,773.0,19134.0,1614,3,345742.0,27983.0,12355639
Cabo Verde,38151,349,37524.0,278.0,67651,619,211025.0,374201.0,563935
Cambodia,118111,2758,113791.0,1562.0,6938,162,2601505.0,152819.0,17023399
Cameroon,100289,1600,80433.0,18256.0,3658,58,1751774.0,63901.0,27413866
Canada,1704391,28841,1649582.0,25968.0,44643,755,45819418.0,1200158.0,38177832
CAR,11518,100,6859.0,4559.0,2331,20,60228.0,12191.0,4940197
Chad,5067,174,4874.0,19.0,297,10,148082.0,8688.0,17044655
Chile,1684608,37691,1633518.0,13399.0,87140,1950,23240554.0,1202165.0,19332246
China,96899,4636,91620.0,643.0,67,3,160000000.0,111163.0,1439323776
Colombia,4994014,127133,4838063.0,28818.0,96789,2464,26610010.0,515730.0,51596762
Comoros,4233,147,4048.0,38.0,4735,164,,,893947
Congo,16868,249,12421.0,4198.0,2961,44,188207.0,33039.0,5696509
Costa Rica,557922,6997,490672.0,60253.0,108222,1357,2524241.0,489634.0,5155359
Croatia,449365,9090,422331.0,17944.0,110358,2232,3048235.0,748604.0,4071891
Cuba,947935,8201,934350.0,5384.0,83758,725,10404761.0,919351.0,11317505
Curaçao,17027,173,16703.0,151.0,103208,1049,305800.0,1853592.0,164977
Cyprus,121986,571,90755.0,30660.0,100076,468,9420908.0,7728815.0,1218933
Czechia,1735552,30648,1669501.0,35403.0,161670,2855,40033548.0,3729200.0,10735157
Denmark,379078,2703,362497.0,13878.0,65144,465,85395099.0,14675037.0,5819072
Djibouti,13461,181,13215.0,65.0,13369,180,234424.0,232817.0,1006902
Dominica,4659,30,4248.0,381.0,64509,415,89602.0,1240647.0,72222
Dominican Republic,377385,4114,367642.0,5629.0,34335,374,2187112.0,198989.0,10991110
DRC,57453,1091,50930.0,5432.0,617,12,306299.0,3289.0,93135138
Ecuador,515659,32953,443880.0,38826.0,28655,1831,1914667.0,106397.0,17995480
